DateAndTime,Flow
01/01/2018 00:00:00,3637.0
01/01/2018 01:00:00,3955.0
01/01/2018 02:00:00,3464.0
01/01/2018 03:00:00,2810.0
01/01/2018 04:00:00,2659.0
01/01/2018 05:00:00,2506.0
01/01/2018 06:00:00,2969.0
01/01/2018 07:00:00,3298.0
01/01/2018 08:00:00,3460.0
01/01/2018 09:00:00,4362.0
01/01/2018 10:00:00,5015.0
01/01/2018 11:00:00,6150.0
01/01/2018 12:00:00,7095.0
01/01/2018 13:00:00,7151.0
01/01/2018 14:00:00,7309.0
01/01/2018 15:00:00,6939.0
01/01/2018 16:00:00,6381.0
01/01/2018 17:00:00,5870.0
01/01/2018 18:00:00,5600.0
01/01/2018 19:00:00,5175.0
01/01/2018 20:00:00,4525.0
01/01/2018 21:00:00,4058.0
01/01/2018 22:00:00,3393.0
01/01/2018 23:00:00,2611.0
01/02/2018 00:00:00,2060.0
01/02/2018 01:00:00,1522.0
01/02/2018 02:00:00,1384.0
01/02/2018 03:00:00,1462.0
01/02/2018 04:00:00,2522.0
01/02/2018 05:00:00,4058.0
01/02/2018 06:00:00,6605.0
01/02/2018 07:00:00,8551.0
01/02/2018 08:00:00,8728.0
01/02/2018 09:00:00,7843.0
01/02/2018 10:00:00,8002.0
01/02/2018 11:00:00,8524.0
01/02/2018 12:00:00,9382.0
01/02/2018 13:00:00,9996.0
01/02/2018 14:00:00,10438.0
01/02/2018 15:00:00,10668.0
01/02/2018 16:00:00,10619.0
01/02/2018 17:00:00,10358.0
01/02/2018 18:00:00,9014.0
01/02/2018 19:00:00,7557.0
01/02/2018 20:00:00,5523.0
01/02/2018 21:00:00,5092.0
01/02/2018 22:00:00,4174.0
01/02/2018 23:00:00,3126.0
01/03/2018 00:00:00,2475.0
01/03/2018 01:00:00,2184.0
01/03/2018 02:00:00,1848.0
01/03/2018 03:00:00,2172.0
01/03/2018 04:00:00,2731.0
01/03/2018 05:00:00,4509.0
01/03/2018 06:00:00,7243.0
01/03/2018 07:00:00,9174.0
01/03/2018 08:00:00,9787.0
01/03/2018 09:00:00,8678.0
01/03/2018 10:00:00,8268.0
01/03/2018 11:00:00,8991.0
01/03/2018 12:00:00,9455.0
01/03/2018 13:00:00,9985.0
01/03/2018 14:00:00,10803.0
01/03/2018 15:00:00,11217.0
01/03/2018 16:00:00,10907.0
01/03/2018 17:00:00,10105.0
01/03/2018 18:00:00,8451.0
01/03/2018 19:00:00,8241.0
01/03/2018 20:00:00,6022.0
01/03/2018 21:00:00,5305.0
01/03/2018 22:00:00,4542.0
01/03/2018 23:00:00,3130.0
01/04/2018 00:00:00,2183.0
01/04/2018 01:00:00,1816.0
01/04/2018 02:00:00,1608.0
01/04/2018 03:00:00,1652.0
01/04/2018 04:00:00,2626.0
01/04/2018 05:00:00,4589.0
01/04/2018 06:00:00,7147.0
01/04/2018 07:00:00,9195.0
01/04/2018 08:00:00,9544.0
01/04/2018 09:00:00,9220.0
01/04/2018 10:00:00,9048.0
01/04/2018 11:00:00,9476.0
01/04/2018 12:00:00,9870.0
01/04/2018 13:00:00,10073.0
01/04/2018 14:00:00,10612.0
01/04/2018 15:00:00,10773.0
01/04/2018 16:00:00,10987.0
01/04/2018 17:00:00,10098.0
01/04/2018 18:00:00,9657.0
01/04/2018 19:00:00,8621.0
01/04/2018 20:00:00,6653.0
01/04/2018 21:00:00,5584.0
01/04/2018 22:00:00,4747.0
01/04/2018 23:00:00,3425.0
01/05/2018 00:00:00,2425.0
01/05/2018 01:00:00,1582.0
01/05/2018 02:00:00,1500.0
01/05/2018 03:00:00,1647.0
01/05/2018 04:00:00,2329.0
01/05/2018 05:00:00,4131.0
01/05/2018 06:00:00,6740.0
01/05/2018 07:00:00,8893.0
01/05/2018 08:00:00,9509.0
01/05/2018 09:00:00,9217.0
01/05/2018 10:00:00,9420.0
01/05/2018 11:00:00,10016.0
01/05/2018 12:00:00,10030.0
01/05/2018 13:00:00,10391.0
01/05/2018 14:00:00,11029.0
01/05/2018 15:00:00,10988.0
01/05/2018 16:00:00,10820.0
01/05/2018 17:00:00,9652.0
01/05/2018 18:00:00,9896.0
01/05/2018 19:00:00,8574.0
01/05/2018 20:00:00,6550.0
01/05/2018 21:00:00,5482.0
01/05/2018 22:00:00,4935.0
01/05/2018 23:00:00,3576.0
01/06/2018 00:00:00,2765.0
01/06/2018 01:00:00,1837.0
01/06/2018 02:00:00,1595.0
01/06/2018 03:00:00,975.0
01/06/2018 04:00:00,1515.0
01/06/2018 05:00:00,2212.0
01/06/2018 06:00:00,3158.0
01/06/2018 07:00:00,4347.0
01/06/2018 08:00:00,6186.0
01/06/2018 09:00:00,7601.0
01/06/2018 10:00:00,9134.0
01/06/2018 11:00:00,9610.0
01/06/2018 12:00:00,9903.0
01/06/2018 13:00:00,9807.0
01/06/2018 14:00:00,9878.0
01/06/2018 15:00:00,9667.0
01/06/2018 16:00:00,9204.0
01/06/2018 17:00:00,8967.0
01/06/2018 18:00:00,8354.0
01/06/2018 19:00:00,6418.0
01/06/2018 20:00:00,5579.0
01/06/2018 21:00:00,5529.0
01/06/2018 22:00:00,5117.0
01/06/2018 23:00:00,4021.0
01/07/2018 00:00:00,2911.0
01/07/2018 01:00:00,2237.0
01/07/2018 02:00:00,1834.0
01/07/2018 03:00:00,1184.0
01/07/2018 04:00:00,1355.0
01/07/2018 05:00:00,1984.0
01/07/2018 06:00:00,2657.0
01/07/2018 07:00:00,3413.0
01/07/2018 08:00:00,4546.0
01/07/2018 09:00:00,6068.0
01/07/2018 10:00:00,8029.0
01/07/2018 11:00:00,9087.0
01/07/2018 12:00:00,9254.0
01/07/2018 13:00:00,9169.0
01/07/2018 14:00:00,8597.0
01/07/2018 15:00:00,8719.0
01/07/2018 16:00:00,8791.0
01/07/2018 17:00:00,8234.0
01/07/2018 18:00:00,7730.0
01/07/2018 19:00:00,6800.0
01/07/2018 20:00:00,5930.0
01/07/2018 21:00:00,5876.0
01/07/2018 22:00:00,4618.0
01/07/2018 23:00:00,3402.0
01/08/2018 00:00:00,2821.0
01/08/2018 01:00:00,2216.0
01/08/2018 02:00:00,1954.0
01/08/2018 03:00:00,2158.0
01/08/2018 04:00:00,2967.0
01/08/2018 05:00:00,4828.0
01/08/2018 06:00:00,7552.0
01/08/2018 07:00:00,9820.0
01/08/2018 08:00:00,9424.0
01/08/2018 09:00:00,9595.0
01/08/2018 10:00:00,8641.0
01/08/2018 11:00:00,8940.0
01/08/2018 12:00:00,9086.0
01/08/2018 13:00:00,9173.0
01/08/2018 14:00:00,9855.0
01/08/2018 15:00:00,10251.0
01/08/2018 16:00:00,9974.0
01/08/2018 17:00:00,9015.0
01/08/2018 18:00:00,9045.0
01/08/2018 19:00:00,8030.0
01/08/2018 20:00:00,6390.0
01/08/2018 21:00:00,5958.0
01/08/2018 22:00:00,5375.0
01/08/2018 23:00:00,4298.0
01/09/2018 00:00:00,3510.0
01/09/2018 01:00:00,2705.0
01/09/2018 02:00:00,2463.0
01/09/2018 03:00:00,2065.0
01/09/2018 04:00:00,2643.0
01/09/2018 05:00:00,4362.0
01/09/2018 06:00:00,7268.0
01/09/2018 07:00:00,9608.0
01/09/2018 08:00:00,9833.0
01/09/2018 09:00:00,8945.0
01/09/2018 10:00:00,8597.0
01/09/2018 11:00:00,9178.0
01/09/2018 12:00:00,9145.0
01/09/2018 13:00:00,9471.0
01/09/2018 14:00:00,9411.0
01/09/2018 15:00:00,9405.0
01/09/2018 16:00:00,10018.0
01/09/2018 17:00:00,9821.0
01/09/2018 18:00:00,8785.0
01/09/2018 19:00:00,7544.0
01/09/2018 20:00:00,5592.0
01/09/2018 21:00:00,5541.0
01/09/2018 22:00:00,4314.0
01/09/2018 23:00:00,3072.0
01/10/2018 00:00:00,2090.0
01/10/2018 01:00:00,1466.0
01/10/2018 02:00:00,1510.0
01/10/2018 03:00:00,1313.0
01/10/2018 04:00:00,2429.0
01/10/2018 05:00:00,4509.0
01/10/2018 06:00:00,7682.0
01/10/2018 07:00:00,10091.0
01/10/2018 08:00:00,10267.0
01/10/2018 09:00:00,9668.0
01/10/2018 10:00:00,9258.0
01/10/2018 11:00:00,9780.0
01/10/2018 12:00:00,9817.0
01/10/2018 13:00:00,10259.0
01/10/2018 14:00:00,10937.0
01/10/2018 15:00:00,11364.0
01/10/2018 16:00:00,11186.0
01/10/2018 17:00:00,10151.0
01/10/2018 18:00:00,8779.0
01/10/2018 19:00:00,8630.0
01/10/2018 20:00:00,6769.0
01/10/2018 21:00:00,5734.0
01/10/2018 22:00:00,4885.0
01/10/2018 23:00:00,3446.0
01/11/2018 00:00:00,2288.0
01/11/2018 01:00:00,1643.0
01/11/2018 02:00:00,1881.0
01/11/2018 03:00:00,1335.0
01/11/2018 04:00:00,2306.0
01/11/2018 05:00:00,4569.0
01/11/2018 06:00:00,7473.0
01/11/2018 07:00:00,10275.0
01/11/2018 08:00:00,10176.0
01/11/2018 09:00:00,10154.0
01/11/2018 10:00:00,9802.0
01/11/2018 11:00:00,9813.0
01/11/2018 12:00:00,10057.0
01/11/2018 13:00:00,10108.0
01/11/2018 14:00:00,10658.0
01/11/2018 15:00:00,10813.0
01/11/2018 16:00:00,10804.0
01/11/2018 17:00:00,9810.0
01/11/2018 18:00:00,9659.0
01/11/2018 19:00:00,9247.0
01/11/2018 20:00:00,7112.0
01/11/2018 21:00:00,6386.0
01/11/2018 22:00:00,5244.0
01/11/2018 23:00:00,3525.0
01/12/2018 00:00:00,2464.0
01/12/2018 01:00:00,1917.0
01/12/2018 02:00:00,1588.0
01/12/2018 03:00:00,1685.0
01/12/2018 04:00:00,2166.0
01/12/2018 05:00:00,4298.0
01/12/2018 06:00:00,7275.0
01/12/2018 07:00:00,10060.0
01/12/2018 08:00:00,10302.0
01/12/2018 09:00:00,9280.0
01/12/2018 10:00:00,9776.0
01/12/2018 11:00:00,10353.0
01/12/2018 12:00:00,10155.0
01/12/2018 13:00:00,10421.0
01/12/2018 14:00:00,10958.0
01/12/2018 15:00:00,10959.0
01/12/2018 16:00:00,10798.0
01/12/2018 17:00:00,9558.0
01/12/2018 18:00:00,9987.0
01/12/2018 19:00:00,9401.0
01/12/2018 20:00:00,7375.0
01/12/2018 21:00:00,6563.0
01/12/2018 22:00:00,5828.0
01/12/2018 23:00:00,4286.0
01/13/2018 00:00:00,3169.0
01/13/2018 01:00:00,2026.0
01/13/2018 02:00:00,1953.0
01/13/2018 03:00:00,1407.0
01/13/2018 04:00:00,1466.0
01/13/2018 05:00:00,2427.0
01/13/2018 06:00:00,3715.0
01/13/2018 07:00:00,5172.0
01/13/2018 08:00:00,7288.0
01/13/2018 09:00:00,8415.0
01/13/2018 10:00:00,9331.0
01/13/2018 11:00:00,9755.0
01/13/2018 12:00:00,10785.0
01/13/2018 13:00:00,9763.0
01/13/2018 14:00:00,9536.0
01/13/2018 15:00:00,9926.0
01/13/2018 16:00:00,8889.0
01/13/2018 17:00:00,9091.0
01/13/2018 18:00:00,8281.0
01/13/2018 19:00:00,7426.0
01/13/2018 20:00:00,6339.0
01/13/2018 21:00:00,6044.0
01/13/2018 22:00:00,6274.0
01/13/2018 23:00:00,5359.0
01/14/2018 00:00:00,4388.0
01/14/2018 01:00:00,3808.0
01/14/2018 02:00:00,3229.0
01/14/2018 03:00:00,2825.0
01/14/2018 04:00:00,1643.0
01/14/2018 05:00:00,2301.0
01/14/2018 06:00:00,2949.0
01/14/2018 07:00:00,3834.0
01/14/2018 08:00:00,5571.0
01/14/2018 09:00:00,6864.0
01/14/2018 10:00:00,8051.0
01/14/2018 11:00:00,8340.0
01/14/2018 12:00:00,8731.0
01/14/2018 13:00:00,9078.0
01/14/2018 14:00:00,9108.0
01/14/2018 15:00:00,8385.0
01/14/2018 16:00:00,7916.0
01/14/2018 17:00:00,8295.0
01/14/2018 18:00:00,7818.0
01/14/2018 19:00:00,7055.0
01/14/2018 20:00:00,6736.0
01/14/2018 21:00:00,6072.0
01/14/2018 22:00:00,5558.0
01/14/2018 23:00:00,4282.0
01/15/2018 00:00:00,3474.0
01/15/2018 01:00:00,2448.0
01/15/2018 02:00:00,1838.0
01/15/2018 03:00:00,1609.0
01/15/2018 04:00:00,2460.0
01/15/2018 05:00:00,4122.0
01/15/2018 06:00:00,6277.0
01/15/2018 07:00:00,7966.0
01/15/2018 08:00:00,8729.0
01/15/2018 09:00:00,8913.0
01/15/2018 10:00:00,8838.0
01/15/2018 11:00:00,9487.0
01/15/2018 12:00:00,9536.0
01/15/2018 13:00:00,9874.0
01/15/2018 14:00:00,10397.0
01/15/2018 15:00:00,10569.0
01/15/2018 16:00:00,10345.0
01/15/2018 17:00:00,10126.0
01/15/2018 18:00:00,9477.0
01/15/2018 19:00:00,8348.0
01/15/2018 20:00:00,6988.0
01/15/2018 21:00:00,6250.0
01/15/2018 22:00:00,5363.0
01/15/2018 23:00:00,3927.0
01/16/2018 00:00:00,2771.0
01/16/2018 01:00:00,2041.0
01/16/2018 02:00:00,2151.0
01/16/2018 03:00:00,2109.0
01/16/2018 04:00:00,2245.0
01/16/2018 05:00:00,4651.0
01/16/2018 06:00:00,7560.0
01/16/2018 07:00:00,10184.0
01/16/2018 08:00:00,10432.0
01/16/2018 09:00:00,10136.0
01/16/2018 10:00:00,9407.0
01/16/2018 11:00:00,9619.0
01/16/2018 12:00:00,9508.0
01/16/2018 13:00:00,9609.0
01/16/2018 14:00:00,10692.0
01/16/2018 15:00:00,10690.0
01/16/2018 16:00:00,11168.0
01/16/2018 17:00:00,9870.0
01/16/2018 18:00:00,9876.0
01/16/2018 19:00:00,9159.0
01/16/2018 20:00:00,7302.0
01/16/2018 21:00:00,6676.0
01/16/2018 22:00:00,5552.0
01/16/2018 23:00:00,4128.0
01/17/2018 00:00:00,3117.0
01/17/2018 01:00:00,2649.0
01/17/2018 02:00:00,2287.0
01/17/2018 03:00:00,1810.0
01/17/2018 04:00:00,2596.0
01/17/2018 05:00:00,4776.0
01/17/2018 06:00:00,7956.0
01/17/2018 07:00:00,10495.0
01/17/2018 08:00:00,10416.0
01/17/2018 09:00:00,9978.0
01/17/2018 10:00:00,9303.0
01/17/2018 11:00:00,9140.0
01/17/2018 12:00:00,9459.0
01/17/2018 13:00:00,10101.0
01/17/2018 14:00:00,10703.0
01/17/2018 15:00:00,11106.0
01/17/2018 16:00:00,10369.0
01/17/2018 17:00:00,10016.0
01/17/2018 18:00:00,9826.0
01/17/2018 19:00:00,9392.0
01/17/2018 20:00:00,7605.0
01/17/2018 21:00:00,6930.0
01/17/2018 22:00:00,5994.0
01/17/2018 23:00:00,4584.0
01/18/2018 00:00:00,3818.0
01/18/2018 01:00:00,3044.0
01/18/2018 02:00:00,2182.0
01/18/2018 03:00:00,2101.0
01/18/2018 04:00:00,2716.0
01/18/2018 05:00:00,4710.0
01/18/2018 06:00:00,7681.0
01/18/2018 07:00:00,10029.0
01/18/2018 08:00:00,10501.0
01/18/2018 09:00:00,9897.0
01/18/2018 10:00:00,9214.0
01/18/2018 11:00:00,9591.0
01/18/2018 12:00:00,10094.0
01/18/2018 13:00:00,10079.0
01/18/2018 14:00:00,10585.0
01/18/2018 15:00:00,10921.0
01/18/2018 16:00:00,10536.0
01/18/2018 17:00:00,9745.0
01/18/2018 18:00:00,9698.0
01/18/2018 19:00:00,9289.0
01/18/2018 20:00:00,7816.0
01/18/2018 21:00:00,7144.0
01/18/2018 22:00:00,6021.0
01/18/2018 23:00:00,4540.0
01/19/2018 00:00:00,3912.0
01/19/2018 01:00:00,3457.0
01/19/2018 02:00:00,2756.0
01/19/2018 03:00:00,2480.0
01/19/2018 04:00:00,3230.0
01/19/2018 05:00:00,4972.0
01/19/2018 06:00:00,7605.0
01/19/2018 07:00:00,10290.0
01/19/2018 08:00:00,10602.0
01/19/2018 09:00:00,9916.0
01/19/2018 10:00:00,9289.0
01/19/2018 11:00:00,9863.0
01/19/2018 12:00:00,10405.0
01/19/2018 13:00:00,10523.0
01/19/2018 14:00:00,11113.0
01/19/2018 15:00:00,11130.0
01/19/2018 16:00:00,10690.0
01/19/2018 17:00:00,9917.0
01/19/2018 18:00:00,9801.0
01/19/2018 19:00:00,9466.0
01/19/2018 20:00:00,7481.0
01/19/2018 21:00:00,6888.0
01/19/2018 22:00:00,6314.0
01/19/2018 23:00:00,5080.0
01/20/2018 00:00:00,3787.0
01/20/2018 01:00:00,2930.0
01/20/2018 02:00:00,2502.0
01/20/2018 03:00:00,1939.0
01/20/2018 04:00:00,1949.0
01/20/2018 05:00:00,2563.0
01/20/2018 06:00:00,3790.0
01/20/2018 07:00:00,5335.0
01/20/2018 08:00:00,7510.0
01/20/2018 09:00:00,8408.0
01/20/2018 10:00:00,9797.0
01/20/2018 11:00:00,10095.0
01/20/2018 12:00:00,10336.0
01/20/2018 13:00:00,10428.0
01/20/2018 14:00:00,9976.0
01/20/2018 15:00:00,10214.0
01/20/2018 16:00:00,9463.0
01/20/2018 17:00:00,10050.0
01/20/2018 18:00:00,9310.0
01/20/2018 19:00:00,7553.0
01/20/2018 20:00:00,6188.0
01/20/2018 21:00:00,5871.0
01/20/2018 22:00:00,5424.0
01/20/2018 23:00:00,3987.0
01/21/2018 00:00:00,2967.0
01/21/2018 01:00:00,2337.0
01/21/2018 02:00:00,1850.0
01/21/2018 03:00:00,1691.0
01/21/2018 04:00:00,1544.0
01/21/2018 05:00:00,2183.0
01/21/2018 06:00:00,3429.0
01/21/2018 07:00:00,3759.0
01/21/2018 08:00:00,4865.0
01/21/2018 09:00:00,6891.0
01/21/2018 10:00:00,8577.0
01/21/2018 11:00:00,9714.0
01/21/2018 12:00:00,9685.0
01/21/2018 13:00:00,9454.0
01/21/2018 14:00:00,9008.0
01/21/2018 15:00:00,9204.0
01/21/2018 16:00:00,9030.0
01/21/2018 17:00:00,8270.0
01/21/2018 18:00:00,7910.0
01/21/2018 19:00:00,6787.0
01/21/2018 20:00:00,5948.0
01/21/2018 21:00:00,5236.0
01/21/2018 22:00:00,4123.0
01/21/2018 23:00:00,2854.0
01/22/2018 00:00:00,2269.0
01/22/2018 01:00:00,1205.0
01/22/2018 02:00:00,1496.0
01/22/2018 03:00:00,1477.0
01/22/2018 04:00:00,2415.0
01/22/2018 05:00:00,4499.0
01/22/2018 06:00:00,7803.0
01/22/2018 07:00:00,9995.0
01/22/2018 08:00:00,10207.0
01/22/2018 09:00:00,9895.0
01/22/2018 10:00:00,9149.0
01/22/2018 11:00:00,9500.0
01/22/2018 12:00:00,9822.0
01/22/2018 13:00:00,10064.0
01/22/2018 14:00:00,10233.0
01/22/2018 15:00:00,10694.0
01/22/2018 16:00:00,10772.0
01/22/2018 17:00:00,10047.0
01/22/2018 18:00:00,9516.0
01/22/2018 19:00:00,8721.0
01/22/2018 20:00:00,6862.0
01/22/2018 21:00:00,5847.0
01/22/2018 22:00:00,4596.0
01/22/2018 23:00:00,3142.0
01/23/2018 00:00:00,2230.0
01/23/2018 01:00:00,1569.0
01/23/2018 02:00:00,1787.0
01/23/2018 03:00:00,1598.0
01/23/2018 04:00:00,2442.0
01/23/2018 05:00:00,4682.0
01/23/2018 06:00:00,7723.0
01/23/2018 07:00:00,9939.0
01/23/2018 08:00:00,10422.0
01/23/2018 09:00:00,10092.0
01/23/2018 10:00:00,9176.0
01/23/2018 11:00:00,9605.0
01/23/2018 12:00:00,9774.0
01/23/2018 13:00:00,10023.0
01/23/2018 14:00:00,10732.0
01/23/2018 15:00:00,11051.0
01/23/2018 16:00:00,10262.0
01/23/2018 17:00:00,9772.0
01/23/2018 18:00:00,9282.0
01/23/2018 19:00:00,9073.0
01/23/2018 20:00:00,7773.0
01/23/2018 21:00:00,7055.0
01/23/2018 22:00:00,5386.0
01/23/2018 23:00:00,3271.0
01/24/2018 00:00:00,2451.0
01/24/2018 01:00:00,1755.0
01/24/2018 02:00:00,1558.0
01/24/2018 03:00:00,1575.0
01/24/2018 04:00:00,2650.0
01/24/2018 05:00:00,4704.0
01/24/2018 06:00:00,7655.0
01/24/2018 07:00:00,10055.0
01/24/2018 08:00:00,10539.0
01/24/2018 09:00:00,10100.0
01/24/2018 10:00:00,9128.0
01/24/2018 11:00:00,9446.0
01/24/2018 12:00:00,9729.0
01/24/2018 13:00:00,10123.0
01/24/2018 14:00:00,10755.0
01/24/2018 15:00:00,11017.0
01/24/2018 16:00:00,10586.0
01/24/2018 17:00:00,10108.0
01/24/2018 18:00:00,9738.0
01/24/2018 19:00:00,9536.0
01/24/2018 20:00:00,7723.0
01/24/2018 21:00:00,6849.0
01/24/2018 23:00:00,3406.0
01/25/2018 00:00:00,2357.0
01/25/2018 01:00:00,1680.0
01/25/2018 02:00:00,1371.0
01/25/2018 03:00:00,1561.0
01/25/2018 04:00:00,2557.0
01/25/2018 05:00:00,4825.0
01/25/2018 06:00:00,7677.0
01/25/2018 07:00:00,10261.0
01/25/2018 08:00:00,10752.0
01/25/2018 09:00:00,9885.0
01/25/2018 10:00:00,9448.0
01/25/2018 11:00:00,9917.0
01/25/2018 12:00:00,9883.0
01/25/2018 13:00:00,10381.0
01/25/2018 14:00:00,10829.0
01/25/2018 15:00:00,11192.0
01/25/2018 16:00:00,10255.0
01/25/2018 17:00:00,9489.0
01/25/2018 18:00:00,9611.0
01/25/2018 19:00:00,9221.0
01/25/2018 20:00:00,7457.0
01/25/2018 21:00:00,6480.0
01/25/2018 22:00:00,5453.0
01/25/2018 23:00:00,3793.0
01/26/2018 00:00:00,2396.0
01/26/2018 01:00:00,1926.0
01/26/2018 02:00:00,2018.0
01/26/2018 03:00:00,1624.0
01/26/2018 04:00:00,2383.0
01/26/2018 05:00:00,4509.0
01/26/2018 06:00:00,7284.0
01/26/2018 07:00:00,10067.0
01/26/2018 08:00:00,10190.0
01/26/2018 09:00:00,9941.0
01/26/2018 10:00:00,9697.0
01/26/2018 11:00:00,10609.0
01/26/2018 12:00:00,10665.0
01/26/2018 13:00:00,10002.0
01/26/2018 14:00:00,10892.0
01/26/2018 15:00:00,10814.0
01/26/2018 16:00:00,9754.0
01/26/2018 17:00:00,9333.0
01/26/2018 18:00:00,9816.0
01/26/2018 19:00:00,9373.0
01/26/2018 20:00:00,7413.0
01/26/2018 21:00:00,7027.0
01/26/2018 22:00:00,5705.0
01/26/2018 23:00:00,4299.0
01/27/2018 00:00:00,3010.0
01/27/2018 01:00:00,2402.0
01/27/2018 02:00:00,1828.0
01/27/2018 03:00:00,1901.0
01/27/2018 04:00:00,2138.0
01/27/2018 05:00:00,2717.0
01/27/2018 06:00:00,3946.0
01/27/2018 07:00:00,5285.0
01/27/2018 08:00:00,7436.0
01/27/2018 09:00:00,9080.0
01/27/2018 10:00:00,9940.0
01/27/2018 11:00:00,10676.0
01/27/2018 12:00:00,10601.0
01/27/2018 13:00:00,10764.0
01/27/2018 14:00:00,10489.0
01/27/2018 15:00:00,10082.0
01/27/2018 16:00:00,9337.0
01/27/2018 17:00:00,9565.0
01/27/2018 18:00:00,9727.0
01/27/2018 19:00:00,7885.0
01/27/2018 20:00:00,6941.0
01/27/2018 21:00:00,6636.0
01/27/2018 22:00:00,6243.0
01/27/2018 23:00:00,4994.0
01/28/2018 00:00:00,3661.0
01/28/2018 01:00:00,3376.0
01/28/2018 02:00:00,3391.0
01/28/2018 03:00:00,3081.0
01/28/2018 04:00:00,2828.0
01/28/2018 05:00:00,3334.0
01/28/2018 06:00:00,4115.0
01/28/2018 07:00:00,4663.0
01/28/2018 08:00:00,5806.0
01/28/2018 09:00:00,7297.0
01/28/2018 10:00:00,8231.0
01/28/2018 11:00:00,9005.0
01/28/2018 12:00:00,9365.0
01/28/2018 13:00:00,9194.0
01/28/2018 14:00:00,8708.0
01/28/2018 15:00:00,8290.0
01/28/2018 16:00:00,8094.0
01/28/2018 17:00:00,7922.0
01/28/2018 18:00:00,7584.0
01/28/2018 19:00:00,7293.0
01/28/2018 20:00:00,7470.0
01/28/2018 21:00:00,6381.0
01/28/2018 22:00:00,4939.0
01/28/2018 23:00:00,3528.0
01/29/2018 00:00:00,2957.0
01/29/2018 01:00:00,2525.0
01/29/2018 02:00:00,2207.0
01/29/2018 03:00:00,2317.0
01/29/2018 04:00:00,3253.0
01/29/2018 05:00:00,5214.0
01/29/2018 06:00:00,7868.0
01/29/2018 07:00:00,10349.0
01/29/2018 08:00:00,9783.0
01/29/2018 09:00:00,9648.0
01/29/2018 10:00:00,9197.0
01/29/2018 11:00:00,9389.0
01/29/2018 12:00:00,9618.0
01/29/2018 13:00:00,9823.0
01/29/2018 14:00:00,10396.0
01/29/2018 15:00:00,10891.0
01/29/2018 16:00:00,11152.0
01/29/2018 17:00:00,10684.0
01/29/2018 18:00:00,9966.0
01/29/2018 19:00:00,8585.0
01/29/2018 20:00:00,6699.0
01/29/2018 21:00:00,5593.0
01/29/2018 22:00:00,4909.0
01/29/2018 23:00:00,4134.0
01/30/2018 00:00:00,3525.0
01/30/2018 01:00:00,3206.0
01/30/2018 02:00:00,3253.0
01/30/2018 03:00:00,3086.0
01/30/2018 04:00:00,3888.0
01/30/2018 05:00:00,5493.0
01/30/2018 06:00:00,7893.0
01/30/2018 07:00:00,10704.0
01/30/2018 08:00:00,10969.0
01/30/2018 09:00:00,9840.0
01/30/2018 10:00:00,9351.0
01/30/2018 11:00:00,9340.0
01/30/2018 12:00:00,9482.0
01/30/2018 13:00:00,10093.0
01/30/2018 14:00:00,10610.0
01/30/2018 15:00:00,10482.0
01/30/2018 16:00:00,10873.0
01/30/2018 17:00:00,10249.0
01/30/2018 18:00:00,9874.0
01/30/2018 19:00:00,8967.0
01/30/2018 20:00:00,7789.0
01/30/2018 21:00:00,6809.0
01/30/2018 22:00:00,5539.0
01/30/2018 23:00:00,4336.0
01/31/2018 00:00:00,3358.0
01/31/2018 01:00:00,2504.0
01/31/2018 02:00:00,1822.0
01/31/2018 03:00:00,1518.0
01/31/2018 04:00:00,2470.0
01/31/2018 05:00:00,4478.0
01/31/2018 06:00:00,7708.0
01/31/2018 07:00:00,10395.0
01/31/2018 08:00:00,10684.0
01/31/2018 09:00:00,10244.0
01/31/2018 10:00:00,9513.0
01/31/2018 11:00:00,9543.0
01/31/2018 12:00:00,9929.0
01/31/2018 13:00:00,10022.0
01/31/2018 14:00:00,10906.0
01/31/2018 15:00:00,10885.0
01/31/2018 16:00:00,10625.0
01/31/2018 17:00:00,9582.0
01/31/2018 18:00:00,9969.0
01/31/2018 19:00:00,9374.0
01/31/2018 20:00:00,7944.0
01/31/2018 21:00:00,7145.0
01/31/2018 22:00:00,5829.0
01/31/2018 23:00:00,3372.0
02/01/2018 00:00:00,2647.0
02/01/2018 01:00:00,1672.0
02/01/2018 02:00:00,1780.0
02/01/2018 03:00:00,1455.0
02/01/2018 04:00:00,2513.0
02/01/2018 05:00:00,4305.0
02/01/2018 06:00:00,7533.0
02/01/2018 07:00:00,10151.0
02/01/2018 08:00:00,10651.0
02/01/2018 09:00:00,10078.0
02/01/2018 10:00:00,9547.0
02/01/2018 11:00:00,9721.0
02/01/2018 12:00:00,10022.0
02/01/2018 13:00:00,10459.0
02/01/2018 14:00:00,10794.0
